iso3,location,region,hrp_location,indicator_id,date,alert_level,value,plot,map,plot2,other_images,summary_long,summary_short,summary_source,hdx_url,source_url,other_urls,further_information,campaign_url,campaign_date,signals_version
ARM,Armenia,Europe,False,wfp_market_monitor,2021-07-01 00:00:00,High concern,28.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/a9f47a7c-503c-b286-c247-7efb18daab36.png,,,,,28% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfEA#ARM,2021-07-01,0.1.0
BDI,Burundi,Southern and Eastern Africa,False,wfp_market_monitor,2020-11-01 00:00:00,Medium concern,10.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/92f2b30d-9967-aaee-b29e-cbbc54eb099f.png,,,,,10% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfDc#BDI,2020-11-01,0.1.0
BDI,Burundi,Southern and Eastern Africa,False,wfp_market_monitor,2022-05-01 00:00:00,Medium concern,11.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/c701f62f-fc3d-35b1-f4e5-ace00788cb7d.png,,,,,11% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfGA#BDI,2022-05-01,0.1.0
BDI,Burundi,Southern and Eastern Africa,False,wfp_market_monitor,2023-01-01 00:00:00,High concern,39.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/06c40511-ed3c-cf12-080f-d36043293cf9.png,,,,,39% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfHM#BDI,2023-01-01,0.1.0
BEN,Benin,West and Central Africa,False,wfp_market_monitor,2020-11-01 00:00:00,Medium concern,21.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/4feff8bb-5b21-3856-4421-58c26edc8f53.png,,,,,21% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfDc#BEN,2020-11-01,0.1.0
BEN,Benin,West and Central Africa,False,wfp_market_monitor,2021-11-01 00:00:00,Medium concern,21.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/6ee5df6b-2d80-6a50-74f3-6e6199de5827.png,,,,,21% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfEY#BEN,2021-11-01,0.1.0
BFA,Burkina Faso,West and Central Africa,True,wfp_market_monitor,2022-03-01 00:00:00,Medium concern,15.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/5785be67-3142-194b-6528-28c52dc61110.png,,,,,15% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfGc#BFA,2022-03-01,0.1.0
BGD,Bangladesh,Asia and the Pacific,False,wfp_market_monitor,2022-09-01 00:00:00,Medium concern,10.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/be1f6962-610c-a54c-c4b2-cf5ef21fe5fc.png,,,,,10% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfHg#BGD,2022-09-01,0.1.0
CAF,Central African Republic,West and Central Africa,True,wfp_market_monitor,2020-11-01 00:00:00,Medium concern,15.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/c65dc385-75c3-ade8-6086-2886addfbf76.png,,,,,15% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfDc#CAF,2020-11-01,0.1.0
CAF,Central African Republic,West and Central Africa,True,wfp_market_monitor,2022-07-01 00:00:00,High concern,28.0,https://mcusercontent.com/ea3f905d50ea939780139789d/images/2d742d2b-af5a-b764-6dff-ed3c039ffea9.png,,,,,28% increase in the cost of the food basket,,https://data.humdata.org/dataset/global-market-monitor,https://www.wfp.org/publications/market-monitor,,"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.",http://eepurl.com/iRAfGM#CAF,2022-07-01,0.1.0
