iso3,country_name, population ,as_of,source
ABW,Aruba," 107,995 ",2024,World Bank
AFE,," 769,280,888 ",2024,World Bank
AFG,Afghanistan," 42,647,492 ",2024,World Bank
AFW,," 521,764,076 ",2024,World Bank
AGO,Angola," 37,885,849 ",2024,World Bank
ALB,Albania," 2,377,128 ",2024,World Bank
AND,Andorra," 81,938 ",2024,World Bank
ARB,," 492,612,632 ",2024,World Bank
ARE,United Arab Emirates," 10,986,400 ",2024,World Bank
ARG,Argentina," 45,696,159 ",2024,World Bank
ARM,Armenia," 3,033,500 ",2024,World Bank
ASM,American Samoa," 46,765 ",2024,World Bank
ATG,Antigua and Barbuda," 93,772 ",2024,World Bank
AUS,Australia," 27,196,812 ",2024,World Bank
AUT,Austria," 9,177,982 ",2024,World Bank
AZE,Azerbaijan," 10,202,830 ",2024,World Bank
BDI,Burundi," 14,047,786 ",2024,World Bank
BEL,Belgium," 11,858,610 ",2024,World Bank
BEN,Benin," 14,462,724 ",2024,World Bank
BFA,Burkina Faso," 23,548,781 ",2024,World Bank
BGD,Bangladesh," 173,562,364 ",2024,World Bank
BGR,Bulgaria," 6,441,421 ",2024,World Bank
BHR,Bahrain," 1,588,670 ",2024,World Bank
BHS,Bahamas," 401,283 ",2024,World Bank
BIH,Bosnia-Herzegovina," 3,164,253 ",2024,World Bank
BLR,Belarus," 9,132,629 ",2024,World Bank
BLZ,Belize," 417,072 ",2024,World Bank
BMU,Bermuda," 64,636 ",2024,World Bank
BOL,Bolivia," 12,413,315 ",2024,World Bank
BRA,Brazil," 211,998,573 ",2024,World Bank
BRB,Barbados," 282,467 ",2024,World Bank
BRN,Brunei," 462,721 ",2024,World Bank
BTN,Bhutan," 791,524 ",2024,World Bank
BWA,Botswana," 2,521,139 ",2024,World Bank
CAF,Central African Republic," 5,330,690 ",2024,World Bank
CAN,Canada," 41,288,599 ",2024,World Bank
CEB,," 100,061,963 ",2024,World Bank
CHE,Switzerland," 9,005,582 ",2024,World Bank
CHI,Channel Islands," 168,126 ",2024,World Bank
CHL,Chile," 19,764,771 ",2024,World Bank
CHN,China," 1,408,975,000 ",2024,World Bank
CIV,Cote d'Ivoire," 31,934,230 ",2024,World Bank
CMR,Cameroon," 29,123,744 ",2024,World Bank
COD,Democratic Republic of Congo," 109,276,265 ",2024,World Bank
COG,Congo," 6,332,961 ",2024,World Bank
COL,Colombia," 52,886,363 ",2024,World Bank
COM,Comoros," 866,628 ",2024,World Bank
CPV,Cape Verde," 524,877 ",2024,World Bank
CRI,Costa Rica," 5,129,910 ",2024,World Bank
CSS,," 4,539,060 ",2024,World Bank
CUB,Cuba," 10,979,783 ",2024,World Bank
CUW,Curacao," 155,967 ",2024,World Bank
CYM,Cayman Islands," 74,457 ",2024,World Bank
CYP,Cyprus," 1,358,282 ",2024,World Bank
CZE,Czech Republic," 10,905,028 ",2024,World Bank
DEU,Germany," 83,516,593 ",2024,World Bank
DJI,Djibouti," 1,168,722 ",2024,World Bank
DMA,Dominica," 66,205 ",2024,World Bank
DNK,Denmark," 5,976,992 ",2024,World Bank
DOM,Dominican Republic," 11,427,557 ",2024,World Bank
DZA,Algeria," 46,814,308 ",2024,World Bank
EAP,," 2,141,122,258 ",2024,World Bank
EAR,," 3,552,278,604 ",2024,World Bank
EAS,," 2,388,319,494 ",2024,World Bank
ECA,," 250,281,521 ",2024,World Bank
ECS,," 928,263,208 ",2024,World Bank
ECU,Ecuador," 18,135,478 ",2024,World Bank
EGY,Egypt," 116,538,258 ",2024,World Bank
EMU,," 351,161,936 ",2024,World Bank
ERI,Eritrea," 3,535,603 ",2024,World Bank
ESP,Spain," 48,848,840 ",2024,World Bank
EST,Estonia," 1,372,341 ",2024,World Bank
ETH,Ethiopia," 132,059,767 ",2024,World Bank
EUU,," 450,228,188 ",2024,World Bank
FCS,," 1,081,767,572 ",2024,World Bank
FIN,Finland," 5,619,911 ",2024,World Bank
FJI,Fiji," 928,784 ",2024,World Bank
FRA,France," 68,551,653 ",2024,World Bank
FRO,Faeroe Islands," 54,681 ",2024,World Bank
FSM,Micronesia," 113,160 ",2024,World Bank
GAB,Gabon," 2,538,952 ",2024,World Bank
GBR,Great Britain," 69,226,000 ",2024,World Bank
GEO,Georgia," 3,699,557 ",2024,World Bank
GHA,Ghana," 34,427,414 ",2024,World Bank
GIB,Gibraltar," 39,329 ",2024,World Bank
GIN,Guinea Conakry," 14,754,785 ",2024,World Bank
GMB,Gambia," 2,759,988 ",2024,World Bank
GNB,Guinea-Bissau," 2,201,352 ",2024,World Bank
GNQ,Equatorial Guinea," 1,892,516 ",2024,World Bank
GRC,Greece," 10,405,134 ",2024,World Bank
GRD,Grenada," 117,207 ",2024,World Bank
GRL,Greenland," 56,836 ",2024,World Bank
GTM,Guatemala," 18,406,359 ",2024,World Bank
GUM,Guam," 167,777 ",2024,World Bank
GUY,Guyana," 831,087 ",2024,World Bank
HIC,," 1,417,841,927 ",2024,World Bank
HKG,Hong Kong SAR China," 7,524,100 ",2024,World Bank
HND,Honduras," 10,825,703 ",2024,World Bank
HPC,," 941,413,026 ",2024,World Bank
HRV,Croatia," 3,866,200 ",2024,World Bank
HTI,Haiti," 11,772,557 ",2024,World Bank
HUN,Hungary," 9,562,065 ",2024,World Bank
IBD,," 4,979,421,568 ",2024,World Bank
IBT,," 6,926,222,113 ",2024,World Bank
