ISO,NAME,Hazard,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
AFG,Afghanistan,FL,1.136842105,0.757894737,3.031578947,5.305263158,7.2,2.652631579,4.926315789,3.031578947,1.136842105,0,0.378947368,0.757894737
ALB,Albania,FL,1.566666667,1.566666667,0.783333333,0,0,0,0,0,0.783333333,0.783333333,3.133333333,4.7
DZA,Algeria,FL,0.742857143,1.485714286,1.485714286,2.971428571,0,0.742857143,0,5.2,2.971428571,5.2,2.228571429,1.485714286
AGO,Angola,FL,3.1875,2.55,5.1,1.9125,0.6375,0.31875,0,0,0,0.31875,0.31875,1.275
ATG,Antigua and Barbuda,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ARG,Argentina,FL,4.0625,1.625,6.5,6.5,2.4375,1.625,1.625,0.8125,0,3.25,5.6875,4.875
ARM,Armenia,FL,0,0,4.3,0,0,0,0,0,0,0,0,0
AUS,Australia,FL,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,FL,0,0,1.833333333,1.833333333,0,5.5,3.666666667,3.666666667,0,0,0,0
AZE,Azerbaijan,FL,0,0,0,4.9,4.9,4.9,0,0,4.9,0,0,0
BHS,Bahamas,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BHR,Bahrain,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BGD,Bangladesh,FL,0,0,0.833333333,0.833333333,2.5,9.166666667,10,8.333333333,5.833333333,4.166666667,0,0
BRB,Barbados,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BLR,Belarus,FL,0,0,6.2,6.2,0,0,0,0,0,0,0,0
BEL,Belgium,FL,4,1.333333333,0,0,0,1.333333333,0,1.333333333,1.333333333,0,1.333333333,1.333333333
BLZ,Belize,FL,0,0,0,0,0,0,0,0,0,8.4,4.2,0
BEN,Benin,FL,0,0,0,0,0,2.04,5.1,1.02,3.06,1.02,1.02,0
BTN,Bhutan,FL,0,0,0,0,0,0,2.55,5.1,0,0,0,0
BOL,Bolivia,FL,5.107142857,5.5,1.178571429,1.178571429,0.392857143,0,0,0,0,0.785714286,0.392857143,1.178571429
BIH,Bosnia and Herzegovina,FL,0,2.366666667,2.366666667,7.1,2.366666667,4.733333333,2.366666667,2.366666667,2.366666667,2.366666667,0,4.733333333
BWA,Botswana,FL,1.2,4.8,3.6,0,1.2,1.2,1.2,0,0,0,0,0
BRA,Brazil,FL,8.1,4.32,4.86,4.32,3.24,4.32,2.16,0,1.62,2.16,3.78,4.32
BRN,Brunei Darussalam,FL,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,FL,0,1.96,0,2.94,3.92,4.9,2.94,4.9,1.96,0,0.98,0.98
BFA,Burkina Faso,FL,0,0,0,0,0,2.3,4.6,3.833333333,3.833333333,2.3,0,0
BDI,Burundi,FL,3.7,2.96,2.96,3.7,3.7,0.74,0,0.74,0.74,1.48,0.74,1.48
CPV,Cabo Verde,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
KHM,Cambodia,FL,0,0,0,0,0,0,4.75,9.5,4.75,3.5625,5.9375,0
CMR,Cameroon,FL,0,0,0,0,0,1.714285714,1.714285714,6,1.714285714,0,0,0
CAN,Canada,FL,0,0.577777778,1.733333333,5.2,4.044444444,3.466666667,1.155555556,1.733333333,0.577777778,0.577777778,0,0
CAF,Central African Republic,FL,0,0,0,0,0,0,5.7,5.7,4.275,2.85,1.425,0
TCD,Chad,FL,0,0,0,0,0,0,2.142857143,6.428571429,7.5,3.214285714,0,0
CHL,Chile,FL,0,2.4,2.4,1.6,4,5.6,2.4,2.4,0.8,0.8,0.8,0
CHN,China,FL,0.123529412,0,0.123529412,1.111764706,4.694117647,8.4,6.670588235,4.941176471,2.347058824,1.235294118,0.494117647,0.247058824
COL,Colombia,FL,3.4,4.08,5.44,6.8,4.76,3.4,2.72,2.72,3.4,2.72,3.4,3.4
COM,Comoros,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COG,Congo,FL,2.866666667,0,0,0,0,0,0,0,0,2.866666667,8.6,5.733333333
COD,Congo DR,FL,1.875,1.875,0.9375,1.875,0.9375,0,0.9375,0,0.9375,2.8125,3.75,7.5
CRI,Costa Rica,FL,0.66,0,0,0,1.32,0.66,1.32,0,2.64,3.3,2.64,1.32
CIV,C™te d'Ivoire,FL,0,0,0,0,0,5.6,2.8,0.933333333,0.933333333,0,0,0
HRV,Croatia,FL,0,0,3.25,3.25,6.5,3.25,0,3.25,6.5,3.25,3.25,6.5
CUB,Cuba,FL,0,0,0,3.6,1.8,3.6,0,0,0,1.8,1.8,3.6
CYP,Cyprus,FL,0,0,0,0,0,0,0,0,0,0,0,0
CZE,Czech Republic,FL,0,0,3.975,1.325,1.325,5.3,0,2.65,0,0,0,0
DNK,Denmark,FL,0,0,0,0,0,0,0,0,0,0,0,0
DJI,Djibouti,FL,0,0,0,0.4,0,0,0,0,0,0,0,0
DMA,Dominica,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DOM,Dominican Republic,FL,0.766666667,2.3,0.766666667,1.533333333,4.6,3.066666667,1.533333333,0,0.766666667,0,2.3,0.766666667
ECU,Ecuador,FL,5.8625,3.35,6.7,2.5125,2.5125,0.8375,0,0,0,0,0,0
EGY,Egypt,FL,4.05,0,4.05,0,0,0,0,0,0,0,0,8.1
SLV,El Salvador,FL,0,0,0,0,0.6,1.2,0.6,0,2.4,3,0,0
GNQ,Equatorial Guinea,FL,0,0,0,0,0,0,0,0,0,0,0,0
ERI,Eritrea,FL,0,0,0,0,0,0,3.1,1.55,0,0,0,0
EST,Estonia,FL,0,0,0,0,0,0,0,0,0,0,0,0
ETH,Ethiopia,FL,0,0,0.518181818,3.109090909,2.072727273,1.036363636,1.554545455,5.7,2.072727273,1.036363636,1.554545455,0.518181818
FJI,Fiji,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FIN,Finland,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FRA,France,FL,6.4,1.28,1.28,1.28,3.84,6.4,3.84,1.28,2.56,2.56,6.4,5.12
GAB,Gabon,FL,0,0,0,0,0,4.8,0,0,0,0,0,0
GMB,Gambia,FL,0,0,0,0,0,0,3.5,2.333333333,3.5,1.166666667,0,0
GEO,Georgia,FL,0,0,1.7,3.4,1.7,3.4,5.1,1.7,1.7,0,0,0
DEU,Germany,FL,1.525,0,1.525,1.525,3.05,4.575,3.05,6.1,0,0,0,0
GHA,Ghana,FL,0,0,0.816666667,2.45,0,4.9,4.083333333,2.45,1.633333333,3.266666667,0,0
GRC,Greece,FL,1.55,3.1,0,0,0,0,0,0,0.516666667,2.066666667,3.1,2.583333333
GRD,Grenada,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GTM,Guatemala,FL,0,0.6375,0,0,0.6375,1.9125,1.275,1.9125,3.1875,5.1,1.275,0
GIN,Guinea,FL,0,0,0,0,0,0,2.55,5.1,3.4,0.85,0,0
GNB,Guinea-Bissau,FL,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0
GUY,Guyana,FL,4.8,4.8,0,0,2.4,0,2.4,0,0,0,0,2.4
HTI,Haiti,FL,0,1.29,1.29,1.29,4.3,2.58,1.29,0.43,0.43,2.15,2.58,1.29
HND,Honduras,FL,1.9125,0,0,0,0.6375,2.55,0.6375,1.275,1.275,5.1,1.9125,0.6375
HUN,Hungary,FL,0,0,7.5,2.5,7.5,7.5,2.5,7.5,2.5,0,0,0
ISL,Iceland,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
IND,India,FL,0,0.158490566,0.475471698,0.475471698,1.267924528,4.596226415,8.4,8.4,6.339622642,3.803773585,1.267924528,0.633962264
IDN,Indonesia,FL,8.1,6.942857143,4.339285714,2.314285714,1.446428571,1.735714286,2.892857143,1.157142857,2.025,2.025,4.05,5.785714286
IRN,Iran,FL,1.6,0,4.8,2.4,1.6,1.6,2.4,6.4,2.4,2.4,1.6,1.6
IRQ,Iraq,FL,2.375,2.375,2.375,4.75,0,0,0,0,2.375,4.75,9.5,2.375
IRL,Ireland,FL,0,0,0,0,0,0,0,0,0,1.3,3.9,0
ISR,Israel,FL,2.3,0,0,2.3,0,0,0,0,0,0,0,0
ITA,Italy,FL,2.025,0.675,0,0,1.35,0,0.675,1.35,2.7,3.375,5.4,1.35
JAM,Jamaica,FL,0,0,0,0,3.1,3.1,0,0,0,0,3.1,0
JPN,Japan,FL,0,0,0,0,0,1.625,3.9,0,0.65,0,0.325,0
JOR,Jordan,FL,0,0,0,0,0,0,0,0,0,2.6,2.6,0
KAZ,Kazakhstan,FL,0,4,6,5,1,0,0,0,0,0,0,0
KEN,Kenya,FL,1.866666667,0,2.613333333,5.226666667,5.6,1.12,0,1.12,0.373333333,2.613333333,2.24,2.613333333
KIR,Kiribati,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PRK,Korea DPR,FL,0,0,0,0,0,1.644444444,7.4,6.577777778,2.466666667,1.644444444,0,0
KOR,Korea Republic of,FL,0,0,0,0,0.783333333,0,4.7,4.7,2.35,0,0,0
KWT,Kuwait,FL,0,0,0,0,0,0,0,0,0,0,1.3,0
KGZ,Kyrgyzstan,FL,0,0,0,5.6,0,2.8,0,0,0,0,0,0
LAO,Lao PDR,FL,0,0,0,0,0,2.022222222,1.011111111,9.1,3.033333333,1.011111111,0,0
LVA,Latvia,FL,0,0,0,0,0,0,0,0,0,0,0,0
LBN,Lebanon,FL,0,1.2,1.2,0,0,0,0,0,0,0,0,0
LSO,Lesotho,FL,0,3,3,0,0,0,0,0,0,0,0,0
LBR,Liberia,FL,0,0,0,0,0,4.133333333,6.2,2.066666667,0,0,0,0
LBY,Libya,FL,0,0,0,0,0,0,0,0,0,0,2.6,2.6
LIE,Liechtenstein,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LTU,Lithuania,FL,0,0,0,0,0,0,0,4.7,0,0,0,0
LUX,Luxembourg,FL,0,0,0,0,0,0,0,0,0,0,0,0
MDG,Madagascar,FL,3.6,7.2,7.2,0,0,0,0,0,0,0,0,0
MWI,Malawi,FL,5.3,3.18,4.77,3.18,0.53,0,0,0,0,0,1.59,3.18
MYS,Malaysia,FL,5.657142857,2.828571429,0.471428571,0.471428571,0,0,0.942857143,0.471428571,0,1.414285714,3.771428571,6.6
