iso3,ym,value,coverage,n_cells,dataset_type
ABW,2016-01,-1.1875,cells,1,consolidated_dataset
AFG,2016-01,0.5608,cells,1002,consolidated_dataset
AGO,2016-01,0.2422,cells,1642,consolidated_dataset
AIA,2016-01,-0.4113,nearest_cell,0,consolidated_dataset
ALA,2016-01,-0.0621,cells,2,consolidated_dataset
ALB,2016-01,-0.6098,cells,50,consolidated_dataset
AND,2016-01,-0.6823,cells,1,consolidated_dataset
ARE,2016-01,0.2196,cells,98,consolidated_dataset
ARG,2016-01,0.2438,cells,4444,consolidated_dataset
ARM,2016-01,0.7599,cells,46,consolidated_dataset
ASM,2016-01,-0.8159,nearest_cell,0,consolidated_dataset
ATA,2016-01,0.4105,cells,96000,consolidated_dataset
ATF,2016-01,-0.2651,cells,13,consolidated_dataset
ATG,2016-01,-0.3261,cells,1,consolidated_dataset
AUS,2016-01,0.0648,cells,11135,consolidated_dataset
AUT,2016-01,-1.608,cells,162,consolidated_dataset
AZE,2016-01,0.5127,cells,149,consolidated_dataset
BDI,2016-01,0.5709,cells,35,consolidated_dataset
BEL,2016-01,0.3527,cells,62,consolidated_dataset
BEN,2016-01,-1.4855,cells,150,consolidated_dataset
BFA,2016-01,-0.8544,cells,363,consolidated_dataset
BGD,2016-01,0.3228,cells,194,consolidated_dataset
BGR,2016-01,-0.0206,cells,201,consolidated_dataset
BHR,2016-01,1.0457,cells,1,consolidated_dataset
BHS,2016-01,1.6013,cells,11,consolidated_dataset
BIH,2016-01,-1.4316,cells,90,consolidated_dataset
BLM,2016-01,-0.4113,nearest_cell,0,consolidated_dataset
BLR,2016-01,1.2285,cells,449,consolidated_dataset
BLZ,2016-01,1.0572,cells,28,consolidated_dataset
BMU,2016-01,1.4935,nearest_cell,0,consolidated_dataset
BOL,2016-01,-1.0086,cells,1467,consolidated_dataset
BRA,2016-01,-0.5064,cells,11274,consolidated_dataset
BRB,2016-01,-0.426,nearest_cell,0,consolidated_dataset
BRN,2016-01,-0.5729,cells,8,consolidated_dataset
BTN,2016-01,0.7959,cells,58,consolidated_dataset
BWA,2016-01,-1.564,cells,819,consolidated_dataset
CAF,2016-01,-0.7566,cells,807,consolidated_dataset
CAN,2016-01,0.1865,cells,26886,consolidated_dataset
CHE,2016-01,-0.7245,cells,80,consolidated_dataset
CHL,2016-01,-1.0468,cells,1232,consolidated_dataset
CHN,2016-01,0.5176,cells,15191,consolidated_dataset
CIV,2016-01,-0.6219,cells,421,consolidated_dataset
CMR,2016-01,-0.4466,cells,607,consolidated_dataset
COD,2016-01,-0.3977,cells,3030,consolidated_dataset
COG,2016-01,-0.8312,cells,450,consolidated_dataset
COK,2016-01,-1.5699,nearest_cell,0,consolidated_dataset
COL,2016-01,-0.9943,cells,1476,consolidated_dataset
COM,2016-01,1.8327,cells,3,consolidated_dataset
CPV,2016-01,-0.5372,cells,3,consolidated_dataset
CRI,2016-01,-0.5542,cells,69,consolidated_dataset
CUB,2016-01,1.0739,cells,158,consolidated_dataset
CUW,2016-01,-1.0873,nearest_cell,0,consolidated_dataset
CYM,2016-01,0.7613,nearest_cell,0,consolidated_dataset
CYP,2016-01,-1.0448,cells,16,consolidated_dataset
CZE,2016-01,-0.3558,cells,158,consolidated_dataset
DEU,2016-01,0.2321,cells,733,consolidated_dataset
DJI,2016-01,0.4568,cells,28,consolidated_dataset
DMA,2016-01,-0.1773,nearest_cell,0,consolidated_dataset
DNK,2016-01,1.7179,cells,103,consolidated_dataset
DOM,2016-01,-0.5162,cells,69,consolidated_dataset
DZA,2016-01,-0.9834,cells,3422,consolidated_dataset
ECU,2016-01,-0.1744,cells,334,consolidated_dataset
EGY,2016-01,0.0269,cells,1487,consolidated_dataset
ERI,2016-01,0.8279,cells,170,consolidated_dataset
ESH,2016-01,-1.022,cells,129,consolidated_dataset
ESP,2016-01,-0.6382,cells,858,consolidated_dataset
EST,2016-01,0.0316,cells,114,consolidated_dataset
ETH,2016-01,0.5864,cells,1470,consolidated_dataset
FIN,2016-01,0.9197,cells,947,consolidated_dataset
FJI,2016-01,-1.6371,cells,22,consolidated_dataset
FLK,2016-01,-1.0282,cells,24,consolidated_dataset
FRA,2016-01,-0.7378,cells,1145,consolidated_dataset
FRO,2016-01,1.6357,cells,5,consolidated_dataset
FSM,2016-01,-1.278,nearest_cell,0,consolidated_dataset
GAB,2016-01,-0.2754,cells,336,consolidated_dataset
GBR,2016-01,1.4633,cells,526,consolidated_dataset
GEO,2016-01,1.0258,cells,123,consolidated_dataset
GGY,2016-01,0.4716,nearest_cell,0,consolidated_dataset
GHA,2016-01,-1.5764,cells,310,consolidated_dataset
GIN,2016-01,0.1376,cells,322,consolidated_dataset
GMB,2016-01,1.3053,cells,18,consolidated_dataset
GNB,2016-01,1.3849,cells,46,consolidated_dataset
GNQ,2016-01,-0.0123,cells,31,consolidated_dataset
GRC,2016-01,-1.3605,cells,218,consolidated_dataset
GRD,2016-01,-0.3918,nearest_cell,0,consolidated_dataset
GRL,2016-01,0.0294,cells,10623,consolidated_dataset
GTM,2016-01,0.8918,cells,151,consolidated_dataset
GUM,2016-01,-0.8703,nearest_cell,0,consolidated_dataset
GUY,2016-01,-1.4499,cells,274,consolidated_dataset
HKG,2016-01,2.3743,cells,2,consolidated_dataset
HMD,2016-01,-1.0577,nearest_cell,0,consolidated_dataset
HND,2016-01,0.2023,cells,152,consolidated_dataset
HRV,2016-01,-1.4694,cells,101,consolidated_dataset
HTI,2016-01,-0.6654,cells,38,consolidated_dataset
HUN,2016-01,-0.7238,cells,179,consolidated_dataset
IDN,2016-01,-0.147,cells,2397,consolidated_dataset
IMN,2016-01,2.1964,cells,1,consolidated_dataset
